mol_name,smiles,mol_weight,IC50 (nM)
3116773,[H]/C(=N\N([H])C(=O)C([H])([H])n1c2c([H])c([H])c([H])c([H])c2c(=O)c2c([H])c([H])c([H])c([H])c21)c1c([H])c(C([H])([H])[H])n(-c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])c1C([H])([H])[H],0.683996151898411,0.4759063656625613
3116772,[H]/C(=N\N([H])C(=O)C([H])([H])n1c2c([H])c([H])c([H])c([H])c2c(=O)c2c([H])c([H])c([H])c([H])c21)c1c([H])c(C([H])([H])[H])n(-c2c([H])c([H])c(Cl)c([H])c2[H])c1C([H])([H])[H],0.7070642555319769,0.4701818339225579
2059585,[H]c1c2c(nc3sc(C(=O)N([H])c4nnc(C([H])([H])C([H])([H])[H])s4)c(N([H])[H])c13)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H],0.5670625880815029,0.4881876416106103
3136097,[H]c1sc(/N=N/C([H])(c2c([H])c3c(oc2=O)c([H])c([H])c2c([H])c([H])c([H])c([H])c23)C([H])([H])[H])nc1-c1c([H])c(C([H])([H])[H])c([H])c([H])c1C([H])([H])[H],0.6560387529148528,0.46322515133156295
3980962,[H]c1nc([H])c(C(=O)N(c2c([H])c3sc(=O)oc3c3c([H])c([H])c([H])c([H])c23)S(=O)(=O)c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],0.6837939128740426,0.5784065614268891
5881835,[H]/C(=C(/C#N)C(=O)N([H])C([H])([H])c1oc([H])c([H])c1[H])c1c(N2C([H])([H])C([H])([H])C([H])(C(=O)N([H])[H])C([H])([H])C2([H])[H])nc2c(C([H])([H])[H])c([H])c([H])c([H])n2c1=O,0.6816049983609627,0.5784065614268891
5922350,[H]/C(=C(/C#N)C(=O)N([H])[H])c1c(N2C([H])([H])C([H])([H])N(C([H])([H])c3c([H])c([H])c4c(c3[H])OC([H])([H])O4)C([H])([H])C2([H])[H])nc2c(C([H])([H])[H])c([H])c([H])c([H])n2c1=O,0.6956608487205842,0.5784065614268891
1547789,[H]c1c(C(=O)OC([H])([H])C([H])([H])[H])oc(-c2c(OC(=O)C([H])([H])C([H])([H])[H])c3c([H])c(C([H])([H])C([H])([H])C([H])([H])[H])c(OC([H])([H])[H])c([H])c3oc2=O)c1[H],0.6422019627591087,0.451136353398188
12006124,[H]c1nc2sc(-c3c([H])c([H])c(N([H])S(=O)(=O)c4c([H])c([H])c5nc(C([H])([H])[H])sc5c4[H])c([H])c3[H])nc2c([H])c1[H],0.654659868864222,0.5784065614268891
2400963,[H]Oc1c([H])c([H])c(N2C([H])([H])C([H])([H])N(C([H])([H])C(=O)N([H])C([H])(c3c([H])c([H])c([H])c([H])c3[H])c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])C2([H])[H])c([H])c1[H],0.6067207942435772,0.5784065614268891
5801934,[H]/C(=C1\c2nc3c([H])c([H])c([H])c([H])c3c(C(=O)OC([H])([H])C(=O)N(C([H])([H])[H])C([H])([H])C([H])([H])C#N)c2C([H])([H])C1([H])[H])c1oc([H])c([H])c1[H],0.6253739418367533,0.5784065614268891
15944735,[H]/C(=C(/C#N)C(=O)N([H])c1c([H])c([H])c([H])c2nc([H])c([H])c([H])c12)c1oc(C([H])([H])[H])c([H])c1[H],0.4536047445766436,0.4905523018521035
5691857,[H]Oc1c(O[H])c([H])c2c(C([H])([H])Sc3nc4c([H])c([H])c([H])c([H])c4c(=O)n3-c3c([H])c([H])c([H])c(OC([H])([H])[H])c3[H])c([H])c(=O)oc2c1[H],0.6978566059724598,0.4957588933802117
